exp_short,outcome,v7_role,n_iv,ivw_or,ivw_or_lci,ivw_or_uci,ivw_pval,tier
KOGES_LIP,TWB_Macular,negative_control,4,1.0959317724607394,0.826610223057112,1.4530021724712614,0.5243685146069202,1
BBJ_LDLC,TWB_Macular,negative_control,19,1.0733791618128363,0.7293558464862987,1.5796717481110518,0.7194565521919949,1
BBJ_TC,TWB_Macular,negative_control,29,0.8537190167008408,0.5766358010930943,1.263945384755922,0.4295410021350442,1
BBJ_TG,TWB_Macular,negative_control,27,0.7741889835149098,0.5294799180721038,1.1319949288694802,0.1867071383557574,1
BBJ_HDLC,TWB_Macular,negative_control,37,0.952313166579027,0.7709403107802164,1.1763561388065975,0.6503543612973812,1
KOGES_LDL,TWB_Retinopathy,negative_control,25,0.9713665777269276,0.6949050476891342,1.3578157641287156,0.8650036156430533,1
KOGES_TC,TWB_Retinopathy,negative_control,26,0.914862975761922,0.7064557601039702,1.1847511361458505,0.4999069176554235,1
KOGES_TG,TWB_Retinopathy,negative_control,23,0.9086062895585052,0.7012226397243726,1.1773227826040766,0.4684155549678235,1
KOGES_LIP,TWB_Retinopathy,negative_control,4,0.8656392546640039,0.6603525683256309,1.1347443095666805,0.2961477163217418,1
BBJ_LDLC,TWB_Retinopathy,negative_control,19,0.8517645752827167,0.5857560398166232,1.2385751787274315,0.400952233920705,1
BBJ_TC,TWB_Retinopathy,negative_control,29,0.9926106443643824,0.6788887814412016,1.4513067799026649,0.969474801891799,1
BBJ_TG,TWB_Retinopathy,negative_control,27,0.8272938563546974,0.5499862164001998,1.2444223225118227,0.36271389872817,1
BBJ_HDLC,TWB_Retinopathy,negative_control,37,0.9837911284114592,0.7157962032690399,1.3521236630216062,0.9197754965187944,1
BBJ_LDLC,UKB_H401_All,supplementary,6,1.25467388729693,0.8159570598497125,1.929276233916936,0.3013774790319123,2
BBJ_TC,UKB_H401_All,supplementary,16,0.7671419562270758,0.5248707946714392,1.1212412406605718,0.170998473455832,2
BBJ_TG,UKB_H401_All,supplementary,10,0.6968030335826438,0.3504410754664411,1.3854953131955867,0.30292437238566,2
BBJ_HDLC,UKB_H401_All,supplementary,8,1.1365225160047725,0.6518915156185963,1.981439240178033,0.6518094033936361,2
KOGES_LDL,UKB_H401_All,supplementary,9,0.8549586000976892,0.6978868877277672,1.0473820625300705,0.1302753879742109,2
KOGES_TC,UKB_H401_All,supplementary,11,0.787363595014492,0.6201050132776524,0.9997362019012832,0.0497432248684459,2
KOGES_TG,UKB_H401_All,supplementary,10,0.7493564376072492,0.5233739872012614,1.0729136034945717,0.1151003533612713,2
