dataset,analysis_type,protein,n_ivs,ivw_beta,ivw_se,ivw_p,OR,OR_lo,OR_hi,wm_beta,wm_se,wm_p,egger_beta,egger_se,egger_p,egger_intercept,egger_intercept_p,Q,Q_df,Q_p,I2,direction_consistent,n_matched,outcome,ivw_p_fdr,ivw_p_bonf,seqid,discovery_OR,discovery_p,n_iv,method,egger_int_p,same_dir,replicates,beta,se
JCTF/Olink,proteome-wide,AAMDC,4.0,0.0077675286500406,0.0180087923335938,0.6662366651430682,1.0077977741609463,0.9728457843980656,1.0440055041531382,0.006055697648398,0.0072732974185305,0.4050742204799715,0.0089515762720909,0.0061509475730521,0.1455816257682713,0.0021879803084875,0.4597063208101621,0.2769428613848195,3.0,0.9643049256070884,0.0,True,4.0,BBJ_Glaucoma,0.9405694096137434,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,ESYT2,3.0,-0.0312390742704674,0.0881854132984817,0.7231567051624028,0.9692438241143676,0.8153951110894772,1.152120705419283,-0.0311290021174389,0.0760588404343423,0.6823376650925155,0.5451164171983164,0.4175813166085427,0.191751978656625,-0.0649240753808846,0.1643695780831231,0.9710018022884692,2.0,0.6153888705608446,0.0,False,3.0,BBJ_Glaucoma,0.9517149032919344,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,TOR1AIP1,3.0,-0.0308530958731387,0.0920852098436607,0.7375878089937968,0.9696180035001544,0.8094987037468531,1.1614089909718155,-0.0381361914711736,0.0129764663563691,0.0032940762429873,-0.0320775176834833,0.000637783341833,0.0,0.0021269493028665,0.0,0.0207178556596397,2.0,0.9896945410769552,0.0,False,3.0,BBJ_Glaucoma,0.9517149032919344,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,BST1,3.0,-0.0090833846713015,0.030120484499771,0.7629811418960655,0.990957744641911,0.9341488040883322,1.0512214407041365,-0.0304388502558487,0.0863581580982338,0.7244841611616215,0.1795565440742209,0.4401723075729882,0.683329979794224,0.0627597441279052,0.6629246895103036,8.463460510439706,2.0,0.0145272329695008,76.36900417349388,False,3.0,BBJ_Glaucoma,0.9517149032919344,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,LY75,3.0,0.0074124782031993,0.0275894080312781,0.7881827485521478,1.0074400186252943,0.9544092068170216,1.063417435496634,-0.0013336385727753,0.031899528299324,0.9666521800126744,-0.0090984445491701,0.0576219827675994,0.8745365078817973,0.0067306457753567,0.7489234640610949,0.9545473872973632,2.0,0.620472686618559,0.0,False,3.0,BBJ_Glaucoma,0.9517149032919344,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,CA13,3.0,-0.0188026654595066,0.0765355138363002,0.8059358179672946,0.9813730019266664,0.8446674557466171,1.140203712547752,-0.0344832168916217,0.03144467794211,0.2728026152738867,-0.0268601613707188,0.0271259873270754,0.3220762154753491,0.0030213944106975,0.3807103880649491,0.1966329162237212,2.0,0.9063620327474412,0.0,False,3.0,BBJ_Glaucoma,0.9517149032919344,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,WFIKKN2,3.0,-0.0055154795572245,0.0264792557106844,0.8349991370381469,0.9944997027747102,0.9442023134059346,1.0474764198059954,-0.0243522497755998,0.0214378566750875,0.2559791212049158,-0.0026309363934234,0.0203163523407142,0.8969632413903219,0.0060214606263692,0.4886072438310875,0.8343963387236265,2.0,0.6588903351283759,0.0,True,3.0,BBJ_Glaucoma,0.9517149032919344,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,TMPRSS5,3.0,-0.0068476892041012,0.0343663959398594,0.8420629826333224,0.993175702795448,0.9284805694310286,1.0623786960105095,-0.0172458180690696,0.0137797119792401,0.2107386582628594,0.8800173721839555,0.0259601174095354,0.0,-0.3603248285920473,0.0,0.1694066592772952,2.0,0.9187848201974248,0.0,True,3.0,BBJ_Glaucoma,0.9517149032919344,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,SIRPB1,3.0,-0.0120240847165665,0.0619581316559171,0.8461227130927131,0.9880479157213538,0.8750607007349401,1.1156239595052029,0.0089925524502768,0.0286635554591799,0.7537278308746247,-0.0139519038693847,0.0080075127845993,0.0814469142313838,0.0058026184358362,0.0001722978399163,0.2513711360854394,2.0,0.8818920982513341,0.0,False,3.0,BBJ_Glaucoma,0.9517149032919344,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,TF,3.0,0.0104314653720535,0.0561343975770709,0.8525779341990245,1.01048606278549,0.9052067087732224,1.1280098492282922,0.0339240147610941,0.0364242003771039,0.3516677793786618,0.0130271391751263,0.0319076684703857,0.6830709669050137,0.004518559905427,0.4671789786951712,0.4877152950639334,2.0,0.783599173600035,0.0,True,3.0,BBJ_Glaucoma,0.9517149032919344,1.0,,,,,,,,,,
